#CLLF -> Classic LISA Low Frequency
#Classic LISA curve with the low-frequency shape of Proposed LISA (PL)
#shifted to lower frequencies and splined together with Classic LISA. 
#CL is from Larson et al 2000. 
f	ASD
5.245214000000001006e-06	2.692468423719526266e-13
1.049042999999999233e-05	3.251882170590435076e-15
1.072450993439801762e-05	2.844121919726018555e-15
1.096381304989422557e-05	2.494342427311533810e-15
1.120845589479872053e-05	2.193784894568955978e-15
1.145855761804149113e-05	1.934938477496020709e-15
1.171424002720175991e-05	1.711486082278281023e-15
1.197562764783219566e-05	1.518163669021810832e-15
1.224284778410685196e-05	1.350551159051963938e-15
1.251603058082240681e-05	1.204917734335490865e-15
1.279530908678284929e-05	1.078111145136514225e-15
1.308081931959853176e-05	9.674612460439382105e-16
1.337270033193111063e-05	8.707069874041069088e-16
1.367109427921664770e-05	7.859442263480630385e-16
1.397614648889997418e-05	7.115505561304439823e-16
1.428800553121367516e-05	6.460950730867768162e-16
1.460682329153666859e-05	5.883576654588693305e-16
1.493275504436724592e-05	5.374400985488305042e-16
1.526595952894674288e-05	4.925848395430780823e-16
1.560659902657065231e-05	4.526999140773223075e-16
1.595483943962483305e-05	4.166797000788159836e-16
1.631085037238530253e-05	3.839750274009127963e-16
1.667480521362097950e-05	3.543407638067188680e-16
1.704688122103957906e-05	3.275452283760891397e-16
1.742725960761781027e-05	3.033667533509827944e-16
1.781612562985794367e-05	2.815955324373863312e-16
1.821366867801365913e-05	2.620348952999695324e-16
1.862008236832919620e-05	2.445021132458366221e-16
1.903556463733669629e-05	2.288288320927899278e-16
1.946031783825764917e-05	2.148612185908664000e-16
1.989454883955541018e-05	2.024598971867599835e-16
2.033846912568681485e-05	1.914997449076286057e-16
2.079229490010188334e-05	1.818696040874397214e-16
2.125624719054186408e-05	1.734581298301261541e-16
2.173055195668684180e-05	1.659641453472865788e-16
2.221544020020537846e-05	1.589782536574345838e-16
2.271114807725974004e-05	1.521738649993734570e-16
2.321791701352153583e-05	1.455898824649333693e-16
2.373599382175374558e-05	1.393071615887811800e-16
2.426563082201666158e-05	1.332887737262381945e-16
2.480708596455556420e-05	1.275322154325572037e-16
2.536062295543099860e-05	1.220279454949499275e-16
2.592651138495203589e-05	1.167595558025650504e-16
2.650502685897543313e-05	1.117165902043933346e-16
2.709645113313453781e-05	1.068931223307627264e-16
2.770107225006334506e-05	1.022782562206425546e-16
2.831918467968251444e-05	9.786181960358834227e-17
2.895108946261569193e-05	9.363568564495788933e-17
2.959709435680596645e-05	8.959408828215846788e-17
3.025751398740388946e-05	8.572479177275845289e-17
3.093267000000002109e-05	8.202403999999542653e-17
3.165339999999999072e-05	7.833079999999975271e-17
3.239092000000001683e-05	7.480423000000030104e-17
3.314562999999998507e-05	7.143698000000020673e-17
3.391791999999998374e-05	6.822039999999981920e-17
3.470821000000002187e-05	6.514955999999996443e-17
3.551691000000000619e-05	6.221651999999993956e-17
3.634445000000000741e-05	5.941521000000017182e-17
3.719128000000001638e-05	5.674041999999982430e-17
3.805783000000001573e-05	5.418604000000016962e-17
3.894458999999998554e-05	5.174657999999986660e-17
3.985199000000004397e-05	4.941688000000007844e-17
4.078054000000001664e-05	4.719209000000016224e-17
4.173072999999996493e-05	4.506742000000010528e-17
4.270306000000001869e-05	4.303853999999997221e-17
4.369803999999995610e-05	4.110084999999994412e-17
4.471621000000002499e-05	3.925047000000010327e-17
4.575808999999999069e-05	3.748345000000003300e-17
4.682424999999997440e-05	3.579589000000012115e-17
4.791526000000004986e-05	3.418435999999991291e-17
4.903168999999997914e-05	3.264533999999998656e-17
5.017412000000002640e-05	3.117569000000005078e-17
